SBD,Văn ,Toán ,Anh ,Tổng
180249,7.25,9,9.75,26
180038,7,9,9.75,25.75
180010,7,8.75,9.5,25.25
180069,7.75,7.75,9.5,25
180196,8,8,8.5,24.5
180316,6,9.5,9,24.5
180097,7.75,8.25,8.25,24.25
180225,6.75,8.5,9,24.25
180311,8,8.5,7.75,24.25
180158,6.5,8.25,9.25,24
180111,7.25,8.5,8,23.75
180023,5.75,9.25,8.5,23.5
180054,7,8.5,8,23.5
180061,7.5,8.5,7.5,23.5
180093,5.5,8.75,9.25,23.5
180116,7.25,8.75,7.5,23.5
180127,5.25,9,9.25,23.5
180132,7.5,8.75,7.25,23.5
180160,6.25,8.25,8.75,23.25
180210,7,9.5,6.75,23.25
180101,6.25,8.25,8.5,23
180139,7,9.5,6.5,23
180273,6.75,8.25,8,23
180088,6.25,6.75,9.75,22.75
180159,6,8.5,8.25,22.75
180251,6.25,7,9.5,22.75
180276,7,9,6.75,22.75
180164,6,8.75,7.75,22.5
180211,7.5,8,7,22.5
180266,6.75,8.5,7.25,22.5
180319,5.5,8.25,8.75,22.5
180181,7,7.75,7.5,22.25
180279,6.75,6.75,8.75,22.25
180289,6.25,8,8,22.25
180012,5.75,8.75,7.5,22
180107,6.75,8.25,6.75,21.75
180112,5.75,8.25,7.75,21.75
180138,6,9.5,6,21.5
180186,6.5,9,6,21.5
180008,7,6,8.25,21.25
180024,7,7.75,6.5,21.25
180044,7.5,5.75,8,21.25
180222,6.25,6.75,8.25,21.25
180322,6.75,6.75,7.75,21.25
180086,6,7.75,7.25,21
180212,6.25,7,7.75,21
180272,6.75,8,6.25,21
180006,7,6.5,7.25,20.75
180040,5.75,7.5,7.25,20.5
180070,6.5,6.5,7.5,20.5
180084,7.5,5.75,7.25,20.5
180109,5,7,8.5,20.5
180192,5.75,8,6.75,20.5
180215,5.75,7.75,7,20.5
180246,5,7.5,8,20.5
180281,7.25,7.75,5.5,20.5
180320,6.75,6.75,7,20.5
180055,6,7.5,6.75,20.25
180068,5.75,8.5,6,20.25
180155,6.75,7.5,6,20.25
180174,6.5,7.75,6,20.25
180200,5,6,9.25,20.25
180252,7,6.25,7,20.25
180081,6,8,6,20
180083,5,7.75,7.25,20
180123,5.25,7.5,7.25,20
180255,6.75,6.75,6.5,20
180031,5.75,8.25,5.75,19.75
180103,6.25,7,6.5,19.75
180143,6,8.25,5.5,19.75
