SBG,Văn ,Toán ,Anh,Tổng
120365,7.5,9.5,10,27
120118,7.25,10,9.5,26.75
120375,7,9.5,10,26.5
120127,7.75,9,9.25,26
120047,7.5,8.75,9.5,25.75
120173,7.5,9.75,8.5,25.75
120249,7.75,9.75,8.25,25.75
120021,7.5,8.75,9.25,25.5
120263,8.25,8.5,8.75,25.5
120319,6.75,10,8.75,25.5
120415,8.5,8,8.75,25.25
120416,7.5,9,8.75,25.25
120015,8,9.5,7.5,25
120060,7.5,9.5,8,25
120346,6.25,9,9.75,25
120141,7.25,9,8.5,24.75
120265,7.25,9,8.5,24.75
120065,8.25,8.25,8,24.5
120214,7,8.5,9,24.5
120044,7.75,8.75,7.75,24.25
120274,8,9,7.25,24.25
120288,7.75,8.75,7.75,24.25
120348,6.25,8.5,9.5,24.25
120351,6.5,9.5,8.25,24.25
120422,7,9.5,7.75,24.25
120029,7.75,8.25,8,24
120049,8.5,7.5,8,24
120115,7.5,8.25,8.25,24
120159,7,8.25,8.75,24
120349,6.75,8.75,8.5,24
120394,6.25,8.75,9,24
120399,7.5,8.25,8.25,24
120087,6,8.25,9.5,23.75
120139,7.75,8.5,7.5,23.75
120211,6.5,7.5,9.5,23.5
120295,8,8.75,6.75,23.5
120425,6.75,9.25,7.5,23.5
120436,6.75,8.5,8.25,23.5
120235,6.25,8.75,8.25,23.25
120056,7,8.25,7.75,23
120311,7,8.25,7.75,23
120419,8,8.5,6.5,23
120429,6.25,8.75,8,23
120009,7.75,7.5,7.5,22.75
120188,6.25,8.25,8.25,22.75
120224,7,8.25,7.5,22.75
120253,6.75,9.25,6.75,22.75
120417,7.75,9,6,22.75
120016,6.5,8.75,7.25,22.5
120145,6.5,6.75,9.25,22.5
120215,7,8.25,7.25,22.5
120305,6.75,8,7.75,22.5
120359,6.5,8.5,7.5,22.5
120369,7.25,9,6.25,22.5
120398,7.25,8.75,6.5,22.5
120405,6.5,9.5,6.5,22.5
120434,7,9,6.5,22.5
120017,6.5,8.25,7.5,22.25
120061,7,7.25,8,22.25
120102,6.5,8.25,7.5,22.25
120109,6.75,9.25,6.25,22.25
120114,6.75,7.75,7.75,22.25
120170,8.25,6.25,7.75,22.25
120177,7,8.25,7,22.25
120376,7.5,9.5,5.25,22.25
120027,7.25,7.25,7.5,22
120085,6.25,8.25,7.5,22
120264,7.5,7.5,7,22
120328,7.75,7.25,7,22
120392,5.75,9.5,6.75,22
120431,8.25,8.25,5.5,22
120120,4.5,8.5,8.75,21.75
120164,7.25,6,8.5,21.75
120201,6.75,8.25,6.75,21.75
120385,7,8.25,6.5,21.75
120386,7,8.25,6.5,21.75
120094,5.75,9,6.75,21.5
120099,4.75,8.25,8.5,21.5
120167,6.25,7,8.25,21.5
120212,5.5,8.75,7.25,21.5
120277,6,8.5,7,21.5
120314,6.5,8.25,6.75,21.5
120423,5.5,9,7,21.5
120430,7,8.25,6.25,21.5
120069,7,8.5,5.75,21.25
120082,6,8.5,6.75,21.25
120160,6.75,7.25,7.25,21.25
120187,5.25,8.5,7.5,21.25
120223,7,8.25,6,21.25
120230,6,8.75,6.5,21.25
120387,7,8.25,6,21.25
120413,6.5,9.25,5.5,21.25
120031,7.25,6.75,7,21
120037,7,7,7,21
120059,7,8,6,21
120070,8,7.5,5.5,21
120196,6,7.5,7.5,21
120287,7.5,7,6.5,21
120063,5.75,8,7,20.75
120088,7.5,6,7.25,20.75
120166,5.75,9.25,5.75,20.75
120225,6,8.25,6.5,20.75
120244,5.5,8.25,7,20.75
120307,7.25,6.75,6.75,20.75
120074,6,6.75,7.75,20.5
120096,6,7.5,7,20.5
120239,6,7.5,7,20.5
120268,4.75,9.25,6.5,20.5
120323,5,7.75,7.75,20.5
120334,5.75,7.25,7.5,20.5
120337,5.75,6.25,8.5,20.5
120364,6.5,7.25,6.75,20.5
120372,6.75,6.25,7.5,20.5
120393,5.25,8.5,6.75,20.5
120126,7.75,5.5,7,20.25
120142,6,7,7.25,20.25
120193,6.75,6.5,7,20.25
120213,7.25,6.25,6.75,20.25
120216,5.75,8.25,6.25,20.25
120227,6.25,8.25,5.75,20.25
120254,6.5,8,5.75,20.25
120272,7,6.25,7,20.25
120338,6.25,7,7,20.25
120340,5.75,4.5,10,20.25
120361,6.5,8,5.75,20.25
120053,6.5,7.75,5.75,20
120101,7,6,7,20
120172,7,7.25,5.75,20
120206,5.25,9,5.75,20
120228,6,8,6,20
120232,6,7.5,6.5,20
120236,6.75,6.75,6.5,20
120367,6.75,6,7.25,20
120373,7.75,7.25,5,20
120002,6.5,7.75,5.5,19.75
120024,7.75,5.25,6.75,19.75
120086,6,6.75,7,19.75
120154,5.25,8.25,6.25,19.75
120293,6.25,6.5,7,19.75
120391,5.5,6.5,7.75,19.75
120426,7,7.75,5,19.75
120028,7.75,5.5,6.25,19.5
120032,5.75,8.25,5.5,19.5
120106,7,6.75,5.75,19.5
120149,6.25,8.25,5,19.5
120231,6.75,7.5,5.25,19.5
120245,6,7.75,5.75,19.5
120267,5.75,6.75,7,19.5
120322,7.75,6,5.75,19.5
120344,4.75,8.5,6.25,19.5
120345,5.75,8,5.75,19.5
120356,5.75,7,6.75,19.5
120395,5.75,7.25,6.5,19.5
120045,7,6,6.25,19.25
120048,5,8,6.25,19.25
120107,5.75,6.75,6.75,19.25
120189,7.25,6.5,5.5,19.25
120191,7,4,8.25,19.25
120207,6,5,8.25,19.25
120342,5.75,8,5.5,19.25
120414,7.25,6.25,5.75,19.25
120052,3.75,8.25,7,19
120098,6.25,7.25,5.5,19
120157,5.5,8,5.5,19
120176,6.25,6.75,6,19
120194,5.25,9,4.75,19
120255,6.25,7.5,5.25,19
120256,6,7.25,5.75,19
120276,5.5,8,5.5,19
120289,7,6.75,5.25,19
120290,7.25,6.5,5.25,19
120321,6,6.5,6.5,19
120329,6.25,5.75,7,19
120383,5.75,7.25,6,19
